SID,MATRICULA,CVE_PROGRAMA,ESTADO,PERIODO,FECHA_ACT
37,2025B00037,LICI2020MX,Baja Temporal,2025CA,2025-02-10
38,2020C00038,LIGA2020MX,titulado,2022CC,2024-10-08
39,2022B00039,LIDE2020MX,Activo,2024CC,2024-10-13
40,2019B00040,LIME2020MX,Egresado,2021CC,2024-08-31
41,2023B00041,LICO2020MX,Activo,2025CA,2024-09-17
42,2019C00042,LIGA2020MX,Activo,2021CC,2025-03-02
43,2024C00043,LIPS2020MX,Activo,2025CA,2024-08-09
44,2023B00044,LISC2020MX,Activo,2025CA,2024/06/06
45,2021B00045,LIDN2022MX,Titulado,2023CC,06 Nov 2024
46,2018C00046,LIED2020MX,Titulado,2020CC,2025-01-19
47,2022C00047,LIEN2022MX,Activo,2025CA,2025/01/04
48,2023B00048,LIDN2022MX,Activo,2025CA,2025-02-17
49,2018B00049,LICI2020MX,Titulado,2020CC,2024-11-29
50,2024C00050,LIIN2020MX,Baja Definitiva,2024CC,20/01/2025
51,2023C00051,LIGA2020MX,Activo,2025CA,2024-07-19
52,2019A00052,LIAD2020MX,Activo,2021CC,2024-06-14
53,2024C00053,LIGA2020MX,Activo,2025CA,2024-08-19
53,2024C00053,LIGA2020MX,Activo,2025CA,2024-08-19
54,2022C00054,LIME2020MX,Titulado,2024CC,2024-12-26
55,2022C00055,LICO2020MX,Egresado,2024CC,2024-09-10
56,2024B00056,LIME2020MX,Activo,2025CA,2024-08-11
57,2022B00057,LIEN2022MX,Activo,2024CC,2024-07-27
58,2023B00058,LIED2020MX,Baja Temporal,2025CA,2024-09-21
59,2023A00059,LIGA2020MX, Activo,2024CC,2025-03-06
60,2022B00060,LIDE2020MX,Baja Definitiva,2024CC,2024-06-26
61,2024C00061,LIDE2020MX,Activo,2025CA,2024-10-19
62,2020B00062,LICI2020MX,Activo,2022CC,2024-12-14
63,2022C00063,LIGA2020MX,Egresado,2024CC,2025-02-07
64,2020B00064,LIME2020MX,Titulado,2022CC,2024-07-17
65,2022C00065,LIPS2020MX,Titulado,2024CC,2024-09-14
66,2018A00066,LIED2020MX,Egresado,2020CC,2024-11-17
67,2021B00067,LIAD2020MX,Titulado,2023CC,2024-10-31
68,2022A00068,LIPS2020MX,Activo,2024CC,2024-12-16
69,2022B00069,LIDE2020MX, Egresado,2024CC,2025-01-26
70,2019B00070,LICO2020MX,Egresado,2021CC,2024-08-15
71,2023C00071,LIAD2020MX,Activo,2024CC,2024-06-02
72,2021C00072,LICI2020MX,Titulado,2023CC,2024-11-26
73,2023C00073,LIPS2020MX,Activo,2025CA,2025/02/16
74,2020C00074,LIPS2020MX,Egresado,2022CC,2024-08-04
75,2024B00075,LIGA2020MX,Baja Definitiva,2024CC,2024-11-03
76,2019B00076,LIDN2022MX,Egresado,2021CC,2024-09-14
77,2024C00077,LISC2020MX,baja definitiva,2025CA,2024-09-17
77,2024C00077,LISC2020MX,baja definitiva,2025CA,2024-09-17
78,2022A00078,LIED2020MX,Titulado,2024CC,2025-02-13
79,2024A00079,LISC2020MX,Activo,2025CA,2025-01-11
80,2023B00080,LIED2020MX,Activo,2024CC,2025-02-14
81,2023A00081,LIEN2022MX,Activo,2025CA,2024-09-19
82,2018A00082,LIED2020MX,Activo,2020CC,2025-02-25
83,2018B00083,LIED2020MX,Egresado,2020CC,2024-10-27
84,2020C00084,LIEN2022MX,Baja Definitiva,2023CA,2024-11-21
85,2018B00085,LIIN2020MX,Egresado,2020CC,2025-02-24
86,2021A00086,LIDN2022MX,Egresado,2023CC,2024-12-20
87,2025A00087,LIDN2022MX,Activo,2025CA,2024-09-27
88,2020A00088,LIEN2022MX,Activo,2023CA,2024-12-07
89,2020C00089,LICI2020MX,Egresado,2022CC,2025-03-10
90,2025C00090,LICO2020MX,Activo,2025CA,2025-01-26
91,2020B00091,LIPS2020MX,Activo,2022CC,2025-01-30
92,2024A00092,LIDE2020MX,Activo,2025CA,2025-02-11
93,2024C00093,LIGA2020MX,Baja Temporal,2025CA,2024-07-21
94,2022B00094,LIAD2020MX,Baja Definitiva,2024CC,2025-01-30
95,2023A00095,LIIN2020MX,Activo,2024CC,2024-09-01
96,2023C00096,LIGA2020MX,Baja Temporal,2025CA,2025-02-20
97,2023C00097,LIED2020MX,BAJA TEMPORAL,2025CA,2025-01-27
98,2025B00098,LIAD2020MX,Activo,2025CA,2024-08-03
99,2020C00099,LIME2020MX,Titulado,2022CC,04-03-2025
100,2025C00100,LICO2020MX,Baja Temporal,2025CA,2024-10-18
101,2024A00101,LIPS2020MX,Activo,2024CC,2024-11-13
102,2022B00102,LIDE2020MX,Baja Definitiva,2024CC,2024-10-10
103,2022C00103,LISC2020MX,Titulado,2024CC,2024-06-12
104,2025A00104,LICI2020MX,activo,2025CA,2024-07-13
105,2022B00105,LIDE2020MX,Activo,2024CC,2024-10-07
106,2022B00106,LICI2020MX,Activo,2024CC,07/14/2024
107,2025C00107,LIAD2020MX,Baja Definitiva,2025CA,2024-12-18
108,2024B00108,LIAD2020MX,Activo,2024CC,2024-09-03
109,2018A00109,LIAD2020MX,Egresado,2020CC,2024-10-08
110,2024C00110,LIDN2022MX,Baja Temporal,2024CC,2024-10-21
111,2020A00111,LIGA2020MX,Egresado,2022CC,2025-01-06
112,2022B00112,LIDE2020MX,Egresado,2024CC,21/08/2024
113,2019C00113,LIGA2020MX,Egresado,2021CC,2024-12-03
114,2024B00114,LIAD2020MX,Activo,2025CA,2024-09-20
114,2024B00114,LIAD2020MX,Activo,2025CA,2024-09-20
115,2024B00115,LIIN2020MX,Activo,2025CA,2024-12-28
116,2020A00116,LICI2020MX,Egresado,2022CC,2025-02-04
117,2024B00117,LISC2020MX,Activo,2025CA,2024-11-23
118,2024A00118,LIDE2020MX,Baja Definitiva,2024CC,2024-10-08
119,2022A00119,LICI2020MX,Egresado,2024CC,2025-01-02
120,2022A00120,LICO2020MX,Baja Definitiva,2024CC,2024-09-10
121,2019A00121,LIME2020MX,Activo,2021CC,2024-10-10
122,2020C00122,LISC2020MX,Titulado,2022CC,2024-09-10
123,2023C00123,LICO2020MX,Baja Definitiva,2025CA,2025-01-09
124,2022B00124,LICI2020MX,Titulado,2024CC,2024-11-11
125,2022B00125,LIDE2020MX,Egresado,2024CC,2025-02-05
126,2023A00126,LIDE2020MX,Activo,2025CA,2024-07-14
127,2022C00127,LICO2020MX,Baja Definitiva,2024CC,2024-07-03
128,2023B00128,LIAD2020MX,Activo,2025CA,2024-06-29
129,2025C00129,LIDN2022MX,Activo,2025CA,2024-06-28
130,2022A00130,LIEN2022MX,Activo,2024CC,2024-11-10
131,2019C00131,LICO2020MX,Egresado,2021CC,2024-06-29
132,2021B00132,LIGA2020MX,Activo,2023CC,2024-07-31
133,2018B00133,LIED2020MX, Egresado,2020CC,2024-10-14
134,2022C00134,LIEN2022MX,Egresado,2025CA,2024-10-11
135,2024B00135,LICI2020MX,Activo,2024CC,2024-08-12
136,2024B00136,LIAD2020MX,Activo,2024CC,02-02-2025
137,2024A00137,LIIN2020MX,Activo,2024CC,2025-01-16
138,2023A00138,LIPS2020MX,Baja Temporal,2025CA,2024-08-09
139,2024C00139,LIIN2020MX,Activo,2024CC,2024-07-08
140,2024B00140,LIGA2020MX,Activo,2025CA,2025-01-30
141,2024C00141,LIEN2022MX,Activo,2024CC,2025-02-07
142,2025C00142,LIED2020MX,Activo,2025CA,12/07/2024
143,2024B00143,LIPS2020MX,Activo,2025CA,2024-09-08
144,2025C00144,LIIN2020MX,Activo,2025CA,2024-08-15
145,2024B00145,LIPS2020MX,Baja Temporal,2024CC,2024-06-05
146,2021C00146,LIIN2020MX,Activo,2023CC,2025-03-10
147,2021A00147,LIME2020MX,Egresado,2023CC,2024-11-14
148,2023A00148,LIEN2022MX,Activo,2025CA,2025-02-17
149,2022B00149,LIGA2020MX,Egresado,2024CC,2025-02-11
150,2023B00150,LIAD2020MX,Activo,2025CA,2024-12-26
151,2024B00151,LIPS2020MX,Activo,2024CC,2024-06-20
152,2024C00152,LIDE2020MX,Baja Temporal,2025CA,15/01/2025
153,2022B00153,LIDE2020MX,Titulado,2024CC,2024-09-17
154,2022C00154,LIME2020MX,Egresado,2024CC,2024-06-28
155,2024B00155,LIGA2020MX,Activo,2024CC,2024-08-16
156,2024C00156,LIIN2020MX,Activo,2025CA,2025-02-09
157,2022C00157,LIPS2020MX,Egresado,2024CC,2024-08-25
158,2023B00158,LIME2020MX,Baja Definitiva,2025CA,2024-11-05
159,2021A00159,LISC2020MX,Egresado,2023CC,2025-01-12
160,2025C00160,LIEN2022MX,Activo,2025CA,2024-11-26
161,2022B00161,LIED2020MX,Activo,2024CC,2024-07-15
162,2022C00162,LIGA2020MX,Activo,2024CC,2024-10-04
163,2021C00163,LIAD2020MX,Egresado,2023CC,2025-01-31
164,2020A00164,LIPS2020MX,Egresado,2022CC,2024-11-13
165,2020A00165,LIGA2020MX,Egresado,2022CC,2024-07-27
166,2024C00166,LIEN2022MX,Activo,2025CA,2024-09-26
167,2020C00167,LISC2020MX,Egresado,2022CC,2024-11-09
168,2023A00168,LIAD2020MX,Activo,2025CA,2024-08-25
169,2022A00169,LIEN2022MX,Activo,2025CA,2025-03-12
170,2023A00170,LIME2020MX,Activo,2024CC,2025-01-03
171,2024B00171,LISC2020MX,Activo,2024CC,07/08/2024
172,2023B00172,LIDE2020MX,Baja Temporal,2024CC,2024-10-17
173,2023A00173,LIDE2020MX,Activo,2025CA,2024-06-28
174,2022C00174,LIDE2020MX,Egresado,2024CC,2024-07-07
175,2021C00175,LISC2020MX,Activo,2023CC,2024-10-03
176,2024C00176,LIEN2022MX,Activo,2025CA,2024-06-24
177,2021A00177,LIPS2020MX,Titulado,2023CC,2025-02-09
178,2019A00178,LICI2020MX,Titulado,2021CC,2024-08-01
179,2022B00179,LIPS2020MX,Egresado,2024CC,2024-10-10
180,2024A00180,LIDN2022MX,Activo,2024CC,2024-07-26
181,2018A00181,LISC2020MX,Titulado,2020CC,2024-10-16
182,2022A00182,LIGA2020MX,titulado,2024CC,2024-09-03
183,2019A00183,LIAD2020MX,Titulado,2021CC,2024-11-10
184,2022A00184,LIAD2020MX,Titulado,2024CC,2024-09-23
185,2018C00185,LIDN2022MX,Activo,2020CC,2024-06-12
186,2021B00186,LIPS2020MX,Titulado,2023CC,2024-12-11
187,2023C00187,LIPS2020MX,Activo,2024CC,2024-10-22
188,2024A00188,LIIN2020MX,Activo,2024CC,2024/06/28
188,2024A00188,LIIN2020MX,Activo,2024CC,2024/06/28
189,2021B00189,LIGA2020MX,Activo,2023CC,2024-11-24
190,2022C00190,LICI2020MX,Titulado,2024CC,2024-08-17
191,2023B00191,LIME2020MX,Activo,2025CA,2024-08-13
192,2024C00192,LICO2020MX,Activo,2025CA,2024-12-14
193,2023C00193,LIPS2020MX,Activo,2024CC,2024-07-03
194,2024B00194,LICI2020MX,Activo,2025CA,2024-12-24
195,2022A00195,LIDE2020MX,Egresado,2024CC,2025-01-11
196,2018C00196,LIPS2020MX,Activo,2020CC,2025-02-01
197,2020C00197,LIGA2020MX,Titulado,2022CC,2025-02-01
198,2024A00198,LIIN2020MX,Activo,2024CC,2025-01-30
199,2020C00199,LIED2020MX,titulado,2022CC,03 Aug 2024
200,2023B00200,LIIN2020MX,Activo,2024CC,2024-06-04
201,2021A00201,LIAD2020MX,Egresado,2023CC,2024-12-06
202,2024C00202,LICO2020MX,Activo,2025CA,2024-07-02
203,2022C00203,LIGA2020MX,Egresado,2024CC,2025-03-02
204,2023B00204,LIIN2020MX,Activo,2025CA,2024-08-29
205,2019B00205,LIME2020MX,Egresado,2021CC,2024-12-14
206,2024A00206,LIGA2020MX,Activo,2025CA,2024-10-07
207,2024C00207,LIED2020MX,Activo,2024CC,2024-10-21
208,2021C00208,LIED2020MX,Titulado,2023CC,2024-09-24
209,2022C00209,LIDN2022MX,Titulado,2024CC,2024-06-02
210,2024C00210,LIIN2020MX,Activo,2025CA,2024-12-09
211,2021B00211,LIED2020MX,Egresado,2023CC,2024/07/13
212,2025B00212,LIPS2020MX,Baja Temporal,2025CA,2024-10-21
213,2018A00213,LIGA2020MX,Activo,2020CC,2024-06-13
214,2018A00214,LIIN2020MX,Baja Definitiva,2020CC,2024-12-24
215,2024A00215,LIAD2020MX,Activo,2025CA,2024-06-21
216,2023A00216,LICI2020MX,Activo,2025CA,17/12/2024
217,2023C00217,LIDN2022MX,Baja Definitiva,2025CA,2024-12-30
218,2025C00218,LIED2020MX,Baja Definitiva,2025CA,2024-11-30
219,2019B00219,LIEN2022MX,Activo,2022CA,2024-12-06
220,2020C00220,LIDE2020MX,Titulado,2022CC,2024-12-31
221,2020B00221,LIGA2020MX,Titulado,2022CC,2025-02-09
222,2020A00222,LIED2020MX,Titulado,2022CC,2024-07-24
223,2024C00223,LIPS2020MX,Activo,2024CC,2024-08-19
224,2025B00224,LIIN2020MX,Activo,2025CA,2025-01-24
225,2023B00225,LIED2020MX,Activo,2025CA,2024-12-17
226,2023C00226,LICO2020MX,Activo,2025CA,2024-07-03
227,2019C00227,LIGA2020MX,Titulado,2021CC,2024-10-20
228,2023C00228,LIGA2020MX,Baja Definitiva,2025CA,2025-02-20
229,2020C00229,LIED2020MX,Egresado,2022CC,2024-08-14
230,2022C00230,LIDN2022MX,Egresado,2024CC,08/31/2024
231,2023C00231,LICI2020MX,Activo,2025CA,2025-02-17
232,2023A00232,LIIN2020MX,Activo,2024CC,2025-02-28
233,2018C00233,LIPS2020MX,Titulado,2020CC,2024-11-20
234,2025A00234,LIDN2022MX,Activo,2025CA,2025-02-13
235,2022A00235,LIPS2020MX,Egresado,2024CC,2024-12-03
236,2022C00236,LIIN2020MX,Titulado,2024CC,2024-06-28
237,2023B00237,LIEN2022MX,Activo,2024CC,2024-09-18
238,2021A00238,LIEN2022MX,Egresado,2024CA,2024-10-27
239,2021B00239,LIME2020MX,Activo,2023CC,2024-10-12
240,2024C00240,LIEN2022MX,Activo,2025CA,2024-11-21
241,2021A00241,LIAD2020MX,Baja Definitiva,2023CC,2024-09-15
242,2022B00242,LICI2020MX,Titulado,2024CC,2024-08-25
243,2024A00243,LISC2020MX,Activo,2025CA,2025-01-24
244,2019C00244,LIED2020MX,Egresado,2021CC,2024-10-04
245,2020B00245,LIME2020MX,Titulado,2022CC,2024-09-18
246,2024C00246,LISC2020MX,Activo,2024CC,2025-02-14
247,2018C00247,LIEN2022MX,Titulado,2021CA,2024-10-02
248,2019C00248,LIPS2020MX,Egresado,2021CC,2024-07-09
249,2021A00249,LISC2020MX,Titulado,2023CC,2025-03-03
250,2024A00250,LICO2020MX,Baja Definitiva,2025CA,2024-10-23
251,2023B00251,LICI2020MX,Baja Temporal,2025CA,2025-03-02
252,2021B00252,LICI2020MX,Egresado,2023CC,2024-09-26
253,2022B00253,LIIN2020MX,Titulado,2024CC,2024-10-17
254,2024C00254,LIIN2020MX,Activo,2025CA,2024-12-07
255,2021A00255,LIDN2022MX,Activo,2023CC,2024-10-07
256,2024B00256,LICO2020MX,Activo,2025CA,2025-02-24
257,2020A00257,LISC2020MX,Activo,2022CC,2024-11-16
258,2025C00258,LIGA2020MX,Activo,2025CA,2024-10-13
259,2024C00259,LICO2020MX,Baja Definitiva,2025CA,2024-10-25
260,2023B00260,LIDN2022MX,Activo,2025CA,2025-01-03
261,2021A00261,LIDE2020MX,Titulado,2023CC,2024-12-15
262,2025A00262,LIIN2020MX,Activo,2025CA,2025-02-15
263,2023A00263,LIDE2020MX,Activo,2024CC,2024-10-01
264,2021B00264,LIDN2022MX,Egresado,2023CC,2024-11-05
265,2024A00265,LIEN2022MX,Activo,2025CA,2024-07-15
266,2020C00266,LIAD2020MX,Titulado,2022CC,07/15/2024
267,2024A00267,LIEN2022MX,Activo,2024CC,2024-10-09
268,2021A00268,LIPS2020MX,Egresado,2023CC,2024-07-10
269,2018A00269,LICO2020MX,Egresado,2020CC,2024-07-27
270,2024A00270,LIAD2020MX,Activo,2024CC,2025-01-06
271,2023A00271,LICI2020MX,Baja Definitiva,2025CA,2024-08-13
272,2021C00272,LIME2020MX,Baja Definitiva,2023CC,2024-12-16
273,2020A00273,LIPS2020MX,Activo,2022CC,2024-06-09
274,2021A00274,LIIN2020MX,Baja Definitiva,2023CC,2024-10-26
275,2024A00275,LIME2020MX,activo,2025CA,2025-01-31
276,2024A00276,LICI2020MX,Baja Temporal,2025CA,2024-11-01
277,2024B00277,LIDN2022MX,Activo,2024CC,2024-12-22
278,2024C00278,LIIN2020MX,Activo,2025CA,2024-12-29
279,2023A00279,LIED2020MX,Activo,2025CA,2024-11-06
280,2018A00280,LIGA2020MX,Activo,2020CC,2025-02-17
281,2021B00281,LISC2020MX,Egresado,2023CC,2024-08-02
282,2020B00282,LICO2020MX,Titulado,2022CC,2024-11-15
283,2022C00283,LIDN2022MX,Titulado,2024CC,22/06/2024
284,2023B00284,LIPS2020MX,Baja Temporal,2025CA,2024-11-26
285,2022C00285,LIDN2022MX,Egresado,2024CC,2024-12-13
286,2019B00286,LISC2020MX,Egresado,2021CC,2025-02-15
287,2023C00287,LIME2020MX,Baja Temporal,2024CC,2025-01-12
288,2023C00288,LIIN2020MX,Activo,2024CC,2024-09-05
289,2024B00289,LICO2020MX,Activo,2025CA,2024-06-23
290,2021B00290,LIME2020MX,Egresado,2023CC,2025-01-07
291,2019C00291,LIEN2022MX,Activo,2022CA,2024-08-12
292,2020B00292,LIAD2020MX,Egresado,2022CC,2024-06-17
293,2022A00293,LISC2020MX,Activo,2024CC,2024-09-04
294,2024A00294,LIPS2020MX,Baja Temporal,2025CA,2024-11-01
295,2020B00295,LICI2020MX,Titulado,2022CC,2024-09-14
296,2022B00296,LIME2020MX,Egresado,2024CC,2024-09-04
297,2024A00297,LIIN2020MX,Activo,2024CC,2024-10-15
298,2020C00298,LICO2020MX,Egresado,2022CC,2024-07-03
299,2024A00299,LIEN2022MX,Activo,2025CA,2025-01-28
300,2022A00300,LIED2020MX,Egresado,2024CC,2024-09-24
301,2025A00301,LIIN2020MX,Activo,2025CA,2024-12-10
302,2018A00302,LICO2020MX,Titulado,2020CC,2025-01-28
303,2025C00303,LISC2020MX,Activo,2025CA,2025-02-17
304,2025C00304,LICO2020MX,Baja Temporal,2025CA,2024-09-07
305,2021B00305,LIED2020MX,Activo,2023CC,2024-11-06
306,2023A00306,LIED2020MX,Activo,2025CA,2024-06-12
307,2025C00307,LICO2020MX,Baja Temporal,2025CA,2024-08-28
308,2024B00308,LICO2020MX,Activo,2025CA,2025-02-06
309,2022B00309,LIED2020MX,Egresado,2024CC,2024-12-04
310,2018C00310,LICO2020MX,Activo,2020CC,2024-10-18
311,2018A00311,LIED2020MX,Titulado,2020CC,2024-08-06
312,2023C00312,LICI2020MX,Activo,2025CA,02/15/2025
313,2019C00313,LIDE2020MX,Titulado,2021CC,02/02/2025
314,2019A00314,LIPS2020MX,Activo,2021CC,2024-06-19
315,2020A00315,LIGA2020MX,Titulado,2022CC,2024-08-22
316,2020A00316,LISC2020MX,Egresado,2022CC,2024-10-09
317,2024C00317,LISC2020MX,Baja Temporal,2025CA,2024-12-21
318,2025C00318,LIME2020MX,Activo,2025CA,2024-10-24
319,2020A00319,LIDE2020MX,Titulado,2022CC,2025-03-06
320,2021A00320,LIDN2022MX,Titulado,2023CC,2024-10-10
321,2023B00321,LICI2020MX,Activo,2025CA,2024-12-10
322,2023A00322,LISC2020MX,Activo,2024CC,2024-12-28
323,2020A00323,LIDN2022MX,Activo,2022CC,2024-10-19
324,2021B00324,LIEN2022MX,egresado,2024CA,2025-02-15
325,2024A00325,LIAD2020MX,Activo,2024CC,2024-12-11
326,2019C00326,LIEN2022MX,Activo,2022CA,2025-01-08
327,2020A00327,LIME2020MX,Titulado,2022CC,2025-02-06
328,2021B00328,LIDN2022MX,Baja Definitiva,2023CC,2024-08-20
329,2020C00329,LIEN2022MX,Baja Definitiva,2023CA,2025-02-07
330,2020C00330,LIED2020MX,Egresado,2022CC,12/11/2024
331,2025C00331,LIEN2022MX,Activo,2025CA,2024-06-16
331,2025C00331,LIEN2022MX,Activo,2025CA,2024-06-16
332,2024C00332,LIAD2020MX,Activo,2024CC,2024-09-28
333,2020C00333,LICI2020MX,Egresado,2022CC,2024-07-05
334,2021B00334,LICI2020MX,Egresado,2023CC,2024-12-17
335,2024C00335,LIIN2020MX,Activo,2024CC,2024-09-30
336,2019C00336,LIDE2020MX,Titulado,2021CC,2024-07-03
337,2024C00337,LISC2020MX,Activo,2025CA,2025-02-25
338,2023C00338,LICO2020MX,Activo,2025CA,2025-02-08
339,2020A00339,LIED2020MX,Egresado,2022CC,2025-01-10
340,2019C00340,LIGA2020MX,Titulado,2021CC,2024-06-07
341,2022B00341,LIDE2020MX,Egresado,2024CC,2024-12-09
342,2024C00342,LIDE2020MX,Baja Temporal,2025CA,2024-12-30
343,2025A00343,LIED2020MX,Activo,2025CA,2024-11-29
344,2023A00344,LIPS2020MX, Activo,2025CA,2024-07-17
345,2019C00345,LIED2020MX,Activo,2021CC,2024-09-30
346,2022A00346,LIDN2022MX,Egresado,2024CC,2025-01-13
347,2019A00347,LISC2020MX,Egresado,2021CC,2024-11-10
348,2022A00348,LISC2020MX,Egresado,2024CC,2024-11-23
349,2021C00349,LIGA2020MX,Activo,2023CC,2024-08-28
350,2024C00350,LIED2020MX,Activo,2024CC,2025-02-05
351,2024B00351,LIIN2020MX,Baja Definitiva,2024CC,2025-03-02
352,2019B00352,LIPS2020MX,Titulado,2021CC,2024-08-28
353,2023A00353,LIME2020MX,Baja Temporal,2025CA,2024-09-24
354,2020B00354,LIAD2020MX,Egresado,2022CC,2025-03-15
355,2019A00355,LISC2020MX,Egresado,2021CC,2025-03-08
356,2019B00356,LIEN2022MX,Activo,2022CA,2024-08-24
357,2024C00357,LIME2020MX,Activo ,2025CA,2024-06-27
358,2022A00358,LICO2020MX,Egresado,2024CC,2024-09-18
359,2022C00359,LIME2020MX,Egresado,2024CC,2024-12-05
360,2023A00360,LIAD2020MX,Baja Temporal,2024CC,2024-08-09
361,2023C00361,LICO2020MX,Activo,2024CC,2024-11-07
362,2024A00362,LIDN2022MX,Activo,2024CC,2024-07-16
363,2018B00363,LIEN2022MX,Activo,2021CA,2024-07-23
364,2022A00364,LICO2020MX,Egresado,2024CC,2025-01-16
365,2018A00365,LICO2020MX,Titulado,2020CC,2024-07-28
366,2024C00366,LIAD2020MX,Activo,2025CA,2024-12-24
367,2020A00367,LICO2020MX,Baja Definitiva,2022CC,2025-02-08
368,2024C00368,LIEN2022MX,Activo,2025CA,2024-12-02
369,2022B00369,LICO2020MX,Titulado,2024CC,2024-09-15
370,2023A00370,LISC2020MX,Baja Definitiva,2024CC,2024-08-06
371,2020C00371,LIPS2020MX,Titulado,2022CC,2024-10-17
372,2024B00372,LISC2020MX,Activo,2025CA,2025-03-02
373,2024B00373,LISC2020MX,Activo,2024CC,2024-06-24
374,2025C00374,LIEN2022MX,Activo,2025CA,2024-10-03
375,2024C00375,LIDN2022MX,Baja Definitiva,2024CC,2025-01-12
376,2022A00376,LIPS2020MX,Titulado,2024CC,2024-10-06
377,2024B00377,LICO2020MX,Activo,2025CA,2025-01-16
378,2024C00378,LIED2020MX,Activo,2024CC,2024-08-21
379,2024A00379,LIIN2020MX,Activo,2025CA,2025-02-05
380,2025A00380,LIME2020MX,Activo,2025CA,2025-03-01
381,2024C00381,LIED2020MX,Activo,2025CA,2024-07-21
382,2018A00382,LIEN2022MX,Activo,2021CA,2024-11-17
383,2022B00383,LICI2020MX,Titulado,2024CC,2024-08-16
384,2024C00384,LIEN2022MX,Activo,2025CA,2024-10-15
385,2020B00385,LIAD2020MX,Titulado,2022CC,2025-01-31
385,2020B00385,LIAD2020MX,Titulado,2022CC,2025-01-31
386,2019C00386,LISC2020MX,Egresado,2021CC,2024-06-21
387,2020A00387,LIDN2022MX,Activo,2022CC,2024-07-16
388,2025B00388,LISC2020MX,Activo,2025CA,2024-08-08
389,2021B00389,LICO2020MX,Titulado,2023CC,2025-02-17
390,2023A00390,LIGA2020MX,Activo,2025CA,2025-03-15
391,2023C00391,LIDN2022MX,Activo,2025CA,2024-08-20
392,2020A00392,LISC2020MX,Egresado,2022CC,2024-07-23
393,2023B00393,LIEN2022MX,Activo,2025CA,2024-07-04
394,2018C00394,LIDN2022MX,Titulado,2020CC,2024-06-24
395,2020B00395,LICO2020MX,Titulado,2022CC,2025-02-27
396,2024A00396,LICI2020MX,Activo,2024CC,2024-11-04
397,2025B00397,LIED2020MX,Activo,2025CA,2024-12-29
398,2023C00398,LIME2020MX,Activo,2025CA,2025-03-01
399,2018C00399,LIME2020MX,Egresado,2020CC,2024-09-27
400,2024A00400,LIIN2020MX,Activo,2025CA,2024-11-15
401,2024B00401,LIDN2022MX,Activo,2025CA,2024-08-22
402,2024B00402,LIME2020MX,Activo,2025CA,2024-07-31
403,2022A00403,LICI2020MX,Activo,2024CC,2024-09-30
404,2019B00404,LICO2020MX,titulado,2021CC,2024-12-23
405,2023A00405,LIDE2020MX,Activo,2024CC,2024-07-26
406,2021B00406,LIPS2020MX,Activo,2023CC,20/07/2024
