SID,NUM_TRANSACCION,PERIODO,TIPO_CARGO,MONTO,SALDO,FECHA_ACT
7,TXN-2022-000036,2023CC,Reinscripción,2182.59,671.71,2022-12-01
7,TXN-2023-000037,2024CA,Reinscripción,2187.75,0.0,2023-01-24
7,TXN-2024-000038,2024CB,Colegiatura,3897.88,2824.09,2024-05-26
7,TXN-2025-000039,2024CC,Reinscripción,3180.45,0.0,2025-09-08
8,TXN-2020-000040,2025CA,Inscripción,N/A,0.0,2020-01-14
8,TXN-2021-000041,2025CA,Colegiatura,6189.92,0.0,2021-06-16
9,TXN-2020-000042,2023CA,Inscripción,3524.95,0.0,2020-06-25
9,TXN-2021-000043,2023CB,Colegiatura,3806.25,2926.35,2021-05-19
9,TXN-2022-000044,2023CC,Reinscripción,3174.38,994.19,2022-03-17
9,TXN-2023-000045,2024CA,Colegiatura,4707.05,0.0,2023-10-07
9,TXN-2024-000046,2024CB,Colegiatura,5764.74,0.0,2024-11-24
9,TXN-2025-000047,2024CC,Colegiatura,4955.99,0.0,2025-10-17
10,TXN-2020-000048,2020CA,Inscripción,3716.13,1201.26,2020-04-18
10,TXN-2021-000049,2020CA,Colegiatura,4190.39,2923.07,2021-03-17
10,TXN-2022-000050,2020CA,Reinscripción,3265.61,0.0,2022-07-18
10,TXN-2023-000051,2020CA,Colegiatura,5257.09,0.0,2023-05-09
10,TXN-2024-000052,2020CA,Colegiatura,-,0.0,2024-06-12
10,TXN-2025-000053,2020CA,Colegiatura,5374.18,0.0,2025-10-15
11,TXN-2020-000054,2023CA,Inscripción,3436.43,2015.44,2020-09-30
11,TXN-2021-000055,2023CB,Colegiatura,5665.17,0.0,2021-09-16
11,TXN-2022-000056,2023CC,Colegiatura,5158.1,2976.7,2022-12-19
11,TXN-2023-000057,2024CA,Reinscripción,1745.76,0.0,2023-12-22
11,TXN-2024-000058,2024CB,Reinscripción,2594.75,0.0,2024-03-11
11,TXN-2025-000059,2024CC,Reinscripción,2246.05,0.0,2025-06-26
12,TXN-2020-000060,2023CA,Inscripción,5476.89,2419.32,2020-08-21
12,TXN-2021-000061,2023CB,Colegiatura,4021.72,0.0,2021-06-27
12,TXN-2022-000062,2023CC,Colegiatura,5662.58,2481.99,2022-07-28
12,TXN-2023-000063,2024CA,Colegiatura,5162.79,0.0,2023-11-07
12,TXN-2024-000064,2024CB,Colegiatura,3947.66,3632.06,2024-11-28
12,TXN-2025-000065,2024CC,Colegiatura,5187.87,771.18,2025-03-18
13,TXN-2020-000066,2020CA,Inscripción,3589.61,0.0,2020-01-22
13,TXN-2021-000067,2020CA,Colegiatura,-,0.0,2021-05-05
13,TXN-2022-000068,2020CA,Colegiatura,3928.99,0.0,2022-11-19
13,TXN-2023-000069,2020CA,Colegiatura,3973.95,0.0,2023-03-16
13,TXN-2024-000070,2020CB,Reinscripción,3437.64,0.0,2024-11-01
13,TXN-2025-000071,2020CC,Colegiatura,4948.31,0.0,2025-03-16
14,TXN-2020-000072,2020CA,Inscripción,3137.67,0.0,2020-12-19
14,TXN-2021-000073,2020CB,Reinscripción,1785.95,0.0,2021-10-19
14,TXN-2022-000074,2020CC,Reinscripción,1721.36,0.0,2022-10-28
14,TXN-2023-000075,2021CA,Colegiatura,5022.07,0.0,2023-07-16
14,TXN-2024-000076,2021CB,Colegiatura,4974.84,2635.23,2024-02-17
14,TXN-2025-000077,2021CC,Colegiatura,5336.97,0.0,2025-08-10
15,TXN-2020-000078,2020CA,Inscripción,4178.5,0.0,2020-10-25
15,TXN-2021-000079,2020CB,Colegiatura,4136.06,0.0,2021-07-20
15,TXN-2022-000080,2020CC,Reinscripción,N/A,0.0,2022-05-10
15,TXN-2023-000081,2021CA,Colegiatura,4196.4,0.0,2023-03-01
15,TXN-2024-000082,2021CB,Colegiatura,5015.1,0.0,2024-02-03
15,TXN-2025-000083,2021CC,Colegiatura,4620.87,0.0,2025-04-20
16,TXN-2020-000084,2022CA,Inscripción,2896.37,1374.15,2020-07-18
16,TXN-2021-000085,2022CB,Colegiatura,NULL,0.0,2021-10-04
16,TXN-2022-000086,2022CC,Colegiatura,6091.61,0.0,2022-01-08
16,TXN-2023-000087,2023CA,Colegiatura,5050.41,0.0,2023-09-04
16,TXN-2024-000088,2023CB,Colegiatura,5538.93,0.0,2024-01-14
16,TXN-2025-000089,2023CC,Colegiatura,5141.67,3745.9,2025-06-16
17,TXN-2020-000090,2022CA,Inscripción,5087.06,0.0,2020-05-02
17,TXN-2021-000091,2022CB,Colegiatura,5961.75,3174.34,2021-07-17
17,TXN-2022-000092,2022CC,Colegiatura,4901.37,0.0,2022-02-08
17,TXN-2023-000093,2023CA,Colegiatura,4213.36,0.0,2023-10-04
17,TXN-2024-000094,2023CB,Colegiatura,4347.33,0.0,2024-05-30
17,TXN-2025-000095,2023CC,Colegiatura,5382.74,4307.33,2025-09-06
18,TXN-2020-000096,2025CA,Inscripción,4240.32,0.0,2020-03-21
18,TXN-2021-000097,2025CA,Colegiatura,4578.9,0.0,2021-04-24
19,TXN-2020-000098,2025CA,Inscripción,4379.74,0.0,2020-11-28
20,TXN-2020-000099,2024CA,Inscripción,4572.21,0.0,2020-06-14
20,TXN-2021-000100,2024CB,Colegiatura,5161.58,3220.21,2021-07-19
20,TXN-2022-000101,2024CC,Colegiatura,5504.33,778.75,2022-01-02
20,TXN-2023-000102,2025CA,Reinscripción,2457.48,0.0,2023-01-01
20,TXN-2024-000103,2025CA,Colegiatura,5892.65,0.0,2024-12-27
21,TXN-2020-000104,2022CA,Inscripción,4470.03,0.0,2020-03-23
21,TXN-2021-000105,2022CB,Reinscripción,2687.01,1098.4,2021-07-01
21,TXN-2022-000106,2022CC,Reinscripción,1574.91,0.0,2022-09-12
21,TXN-2023-000107,2023CA,Reinscripción,3282.18,0.0,2023-02-03
21,TXN-2024-000108,2023CB,Colegiatura,4002.01,0.0,2024-03-22
21,TXN-2025-000109,2023CC,Reinscripción,3390.12,2613.66,2025-07-19
22,TXN-2020-000110,2024CA,Inscripción,3759.78,0.0,2020-02-01
22,TXN-2021-000111,2024CB,Colegiatura,4180.31,0.0,2021-05-27
22,TXN-2022-000112,2024CC,Colegiatura,4840.04,0.0,2022-04-07
22,TXN-2023-000113,2025CA,Colegiatura,4575.81,0.0,2023-04-12
23,TXN-2020-000114,2020CA,Inscripción,4150.76,0.0,2020-01-31
23,TXN-2021-000115,2020CB,Colegiatura,4985.61,0.0,2021-05-17
23,TXN-2022-000116,2020CC,Colegiatura,5996.31,1126.31,2022-07-26
23,TXN-2023-000117,2021CA,Colegiatura,5699.61,3622.97,2023-10-27
23,TXN-2024-000118,2021CB,Colegiatura,5735.51,0.0,2024-11-11
23,TXN-2025-000119,2021CC,Colegiatura,4347.37,0.0,2025-09-05
24,TXN-2020-000120,2025CA,Inscripción,3645.17,2812.22,2020-02-07
25,TXN-2020-000121,2022CA,Inscripción,5382.65,3424.27,2020-02-03
25,TXN-2021-000122,2022CB,Reinscripción,3236.13,0.0,2021-10-05
25,TXN-2022-000123,2022CC,Reinscripción,3191.04,2901.1,2022-02-07
25,TXN-2023-000124,2023CA,Colegiatura,5581.05,0.0,2023-01-27
25,TXN-2024-000125,2023CB,Reinscripción,3360.9,0.0,2024-05-19
25,TXN-2025-000126,2023CC,Colegiatura,5364.89,1916.77,2025-08-19
26,TXN-2020-000127,2022CA,Inscripción,3084.95,1724.03,2020-01-18
26,TXN-2021-000128,2022CB,Reinscripción,3104.54,0.0,2021-07-28
26,TXN-2022-000129,2022CC,Colegiatura,6138.99,0.0,2022-04-29
26,TXN-2023-000130,2023CA,Colegiatura,4110.36,0.0,2023-07-22
26,TXN-2024-000131,2023CB,Colegiatura,4261.69,0.0,2024-03-28
26,TXN-2025-000132,2023CC,Reinscripción,3347.18,0.0,2025-03-04
27,TXN-2020-000133,2024CA,Inscripción,4237.17,0.0,2020-04-04
27,TXN-2021-000134,2024CB,Colegiatura,4468.22,0.0,2021-02-11
27,TXN-2022-000135,2024CC,Colegiatura,4674.19,0.0,2022-08-12
27,TXN-2023-000136,2025CA,Colegiatura,5873.13,0.0,2023-05-17
28,TXN-2020-000137,2024CA,Inscripción,5387.52,0.0,2020-08-12
28,TXN-2021-000138,2024CB,Colegiatura,5762.87,0.0,2021-07-22
28,TXN-2022-000139,2024CC,Colegiatura,4952.49,0.0,2022-05-03
28,TXN-2023-000140,2025CA,Reinscripción,2818.84,0.0,2023-05-02
29,TXN-2020-000141,2024CA,Inscripción,3990.92,0.0,2020-01-18
29,TXN-2021-000142,2024CB,Reinscripción,3374.29,0.0,2021-11-26
29,TXN-2022-000143,2024CC,Colegiatura,4919.51,0.0,2022-05-13
29,TXN-2023-000144,2025CA,Colegiatura,6135.68,0.0,2023-08-30
29,TXN-2024-000145,2025CA,Reinscripción,1620.27,638.29,2024-03-13
30,TXN-2020-000146,2020CA,Inscripción,4131.98,0.0,2020-04-27
30,TXN-2021-000147,2020CA,Colegiatura,3975.56,0.0,2021-02-22
30,TXN-2022-000148,2020CA,Colegiatura,5761.76,0.0,2022-07-16
30,TXN-2023-000149,2020CA,Colegiatura,5688.22,1033.01,2023-05-15
30,TXN-2024-000150,2020CA,Colegiatura,5430.85,0.0,2024-11-03
30,TXN-2025-000151,2020CA,Reinscripción,2122.12,1976.09,2025-08-02
31,TXN-2020-000152,2024CA,Inscripción,4756.28,0.0,2020-12-06
31,TXN-2021-000153,2024CB,Colegiatura,4469.54,0.0,2021-03-22
31,TXN-2022-000154,2024CC,Reinscripción,2546.22,1261.44,2022-02-13
32,TXN-2020-000155,2022CA,Inscripción,2639.89,0.0,2020-02-13
32,TXN-2021-000156,2022CB,Colegiatura,5213.67,0.0,2021-01-31
32,TXN-2022-000157,2022CC,Colegiatura,6030.46,3998.25,2022-11-02
32,TXN-2023-000158,2023CA,Colegiatura,4369.26,0.0,2023-10-28
32,TXN-2024-000159,2023CB,Colegiatura,5259.95,0.0,2024-05-20
32,TXN-2025-000160,2023CC,Reinscripción,3253.29,0.0,2025-03-21
33,TXN-2020-000161,2024CA,Inscripción,0,2982.79,2020-04-28
33,TXN-2021-000162,2024CB,Colegiatura,5477.95,0.0,2021-07-22
33,TXN-2022-000163,2024CC,Reinscripción,2129.4,0.0,2022-09-30
33,TXN-2023-000164,2025CA,Colegiatura,5008.75,0.0,2023-06-21
33,TXN-2024-000165,2025CA,Colegiatura,5524.53,0.0,2024-10-11
34,TXN-2020-000166,2020CA,Inscripción,2729.31,0.0,2020-12-26
34,TXN-2021-000167,2020CA,Colegiatura,5682.06,5391.08,2021-09-20
34,TXN-2022-000168,2020CA,Colegiatura,4452.64,4395.06,2022-01-23
34,TXN-2023-000169,2020CA,Colegiatura,6198.46,0.0,2023-09-29
34,TXN-2024-000170,2020CB,Reinscripción,1714.99,706.67,2024-04-22
34,TXN-2025-000171,2020CC,Colegiatura,5209.65,0.0,2025-03-15
35,TXN-2020-000172,2021CA,Inscripción,4337.98,0.0,2020-03-24
35,TXN-2021-000173,2021CB,Colegiatura,5671.38,0.0,2021-03-26
35,TXN-2022-000174,2021CC,Colegiatura,5554.09,0.0,2022-03-18
35,TXN-2023-000175,2022CA,Colegiatura,4283.92,0.0,2023-11-29
35,TXN-2024-000176,2022CB,Colegiatura,5178.89,0.0,2024-10-09
35,TXN-2025-000177,2022CC,Colegiatura,4716.46,0.0,2025-04-25
36,TXN-2020-000178,2020CA,Inscripción,3811.6,0.0,2020-04-11
36,TXN-2021-000179,2020CB,Colegiatura,4743.0,0.0,2021-09-10
36,TXN-2022-000180,2020CC,Colegiatura,5011.04,0.0,2022-04-24
36,TXN-2023-000181,2021CA,Colegiatura,4944.33,0.0,2023-06-19
36,TXN-2024-000182,2021CB,Colegiatura,4001.94,0.0,2024-01-03
36,TXN-2025-000183,2021CC,Colegiatura,4638.21,0.0,2025-10-14
37,TXN-2020-000184,2025CA,Inscripción,3821.36,2171.23,2020-09-30
37,TXN-2021-000185,2025CA,Colegiatura,5784.97,0.0,2021-11-13
38,TXN-2020-000186,2020CA,Inscripción,3287.79,0.0,2020-02-20
38,TXN-2021-000187,2020CB,Colegiatura,6127.32,3128.29,2021-06-02
38,TXN-2022-000188,2020CC,Reinscripción,3141.54,2999.18,2022-07-03
38,TXN-2023-000189,2021CA,Colegiatura,5938.72,0.0,2023-07-29
38,TXN-2024-000190,2021CB,Colegiatura,5174.75,0.0,2024-08-19
38,TXN-2025-000191,2021CC,Colegiatura,5578.46,0.0,2025-07-11
39,TXN-2020-000192,2022CA,Inscripción,4222.76,556.86,2020-05-01
39,TXN-2021-000193,2022CB,Colegiatura,5837.66,0.0,2021-09-10
39,TXN-2022-000194,2022CC,Colegiatura,4788.64,0.0,2022-05-21
39,TXN-2023-000195,2023CA,Reinscripción,1661.99,0.0,2023-02-14
39,TXN-2024-000196,2023CB,Reinscripción,3304.02,2716.65,2024-01-21
39,TXN-2025-000197,2023CC,Colegiatura,3861.64,0.0,2025-07-13
40,TXN-2020-000198,2020CA,Inscripción,3552.46,0.0,2020-08-07
40,TXN-2021-000199,2020CA,Colegiatura,5939.48,4934.52,2021-07-21
40,TXN-2022-000200,2020CA,Colegiatura,5723.87,0.0,2022-09-28
40,TXN-2023-000201,2020CA,Colegiatura,5785.62,0.0,2023-03-19
40,TXN-2024-000202,2020CB,Reinscripción,1506.33,0.0,2024-06-24
40,TXN-2025-000203,2020CC,Reinscripción,2382.24,0.0,2025-03-06
41,TXN-2020-000204,2023CA,Inscripción,2545.49,1711.77,2020-07-07
41,TXN-2021-000205,2023CB,Colegiatura,4922.37,2033.04,2021-12-20
41,TXN-2022-000206,2023CC,Colegiatura,3898.82,3857.96,2022-01-27
41,TXN-2023-000207,2024CA,Colegiatura,4836.6,0.0,2023-09-23
41,TXN-2024-000208,2024CB,Colegiatura,5598.95,2844.82,2024-08-15
41,TXN-2025-000209,2024CC,Colegiatura,4484.57,952.62,2025-01-13
42,TXN-2020-000210,2020CA,Inscripción,4525.78,3044.78,2020-06-17
42,TXN-2021-000211,2020CA,Colegiatura,5187.0,2084.29,2021-05-29
42,TXN-2022-000212,2020CA,Colegiatura,6038.38,3217.09,2022-05-02
42,TXN-2023-000213,2020CA,Reinscripción,3031.53,0.0,2023-02-14
42,TXN-2024-000214,2020CB,Colegiatura,5604.34,0.0,2024-02-23
42,TXN-2025-000215,2020CC,Colegiatura,4183.07,0.0,2025-06-26
43,TXN-2020-000216,2024CA,Inscripción,4488.26,2681.66,2020-10-07
43,TXN-2021-000217,2024CB,Colegiatura,5555.31,0.0,2021-03-30
43,TXN-2022-000218,2024CC,Reinscripción,1886.12,1122.0,2022-01-22
43,TXN-2023-000219,2025CA,Colegiatura,4646.31,0.0,2023-03-17
43,TXN-2024-000220,2025CA,Colegiatura,4244.65,0.0,2024-11-17
44,TXN-2020-000221,2023CA,Inscripción,2887.01,0.0,2020-11-30
44,TXN-2021-000222,2023CB,Colegiatura,6044.92,0.0,2021-04-05
44,TXN-2022-000223,2023CC,Colegiatura,4293.86,0.0,2022-07-22
44,TXN-2023-000224,2024CA,Colegiatura,5204.49,0.0,2023-11-16
44,TXN-2024-000225,2024CB,Reinscripción,2925.34,0.0,2024-02-21
44,TXN-2025-000226,2024CC,Colegiatura,4378.73,0.0,2025-01-28
45,TXN-2020-000227,2021CA,Inscripción,4583.27,3432.8,2020-07-29
45,TXN-2021-000228,2021CB,Colegiatura,5105.89,0.0,2021-10-13
45,TXN-2022-000229,2021CC,Colegiatura,5481.37,0.0,2022-03-17
45,TXN-2023-000230,2022CA,Colegiatura,4929.12,2915.09,2023-06-04
45,TXN-2024-000231,2022CB,Colegiatura,6149.74,0.0,2024-05-15
45,TXN-2025-000232,2022CC,Reinscripción,3470.71,0.0,2025-07-16
46,TXN-2020-000233,2020CA,Inscripción,3389.83,0.0,2020-04-27
46,TXN-2021-000234,2020CA,Reinscripción,3162.87,0.0,2021-04-23
46,TXN-2022-000235,2020CA,Colegiatura,5246.42,0.0,2022-11-22
46,TXN-2023-000236,2020CA,Colegiatura,4522.53,0.0,2023-04-13
46,TXN-2024-000237,2020CA,Reinscripción,2761.05,0.0,2024-02-26
46,TXN-2025-000238,2020CA,Colegiatura,5757.77,0.0,2025-03-15
47,TXN-2020-000239,2022CA,Inscripción,5432.37,0.0,2020-03-20
47,TXN-2021-000240,2022CB,Reinscripción,1898.16,0.0,2021-11-19
47,TXN-2022-000241,2022CC,Reinscripción,2139.58,0.0,2022-03-24
47,TXN-2023-000242,2023CA,Reinscripción,2514.89,0.0,2023-01-09
47,TXN-2024-000243,2023CB,Colegiatura,4776.71,0.0,2024-05-30
47,TXN-2025-000244,2023CC,Colegiatura,3852.87,1265.24,2025-03-14
48,TXN-2020-000245,2023CA,Inscripción,4777.88,1156.06,2020-03-07
48,TXN-2021-000246,2023CB,Colegiatura,4861.12,3059.08,2021-01-17
48,TXN-2022-000247,2023CC,Colegiatura,5998.5,0.0,2022-04-12
48,TXN-2023-000248,2024CA,Colegiatura,4129.03,0.0,2023-09-27
48,TXN-2024-000249,2024CB,Colegiatura,6012.33,0.0,2024-06-17
48,TXN-2025-000250,2024CC,Colegiatura,5392.36,0.0,2025-03-11
49,TXN-2020-000251,2020CA,Inscripción,3593.97,0.0,2020-11-13
49,TXN-2021-000252,2020CA,Colegiatura,4712.04,0.0,2021-07-18
49,TXN-2022-000253,2020CA,Colegiatura,5432.35,0.0,2022-09-02
49,TXN-2023-000254,2020CA,Colegiatura,4188.9,803.24,2023-07-04
49,TXN-2024-000255,2020CA,Reinscripción,3402.43,0.0,2024-02-01
49,TXN-2025-000256,2020CA,Reinscripción,1989.13,0.0,2025-09-12
50,TXN-2020-000257,2024CA,Inscripción,2918.03,1043.81,2020-04-29
50,TXN-2021-000258,2024CB,Colegiatura,5695.96,0.0,2021-07-18
50,TXN-2022-000259,2024CC,Colegiatura,3924.92,0.0,2022-08-13
51,TXN-2020-000260,2023CA,Inscripción,4144.93,0.0,2020-01-31
51,TXN-2021-000261,2023CB,Reinscripción,2945.92,0.0,2021-08-31
51,TXN-2022-000262,2023CC,Colegiatura,4677.99,0.0,2022-07-28
51,TXN-2023-000263,2024CA,Colegiatura,4792.39,0.0,2023-02-17
51,TXN-2024-000264,2024CB,Colegiatura,5116.94,0.0,2024-10-01
51,TXN-2025-000265,2024CC,Reinscripción,3474.72,0.0,2025-04-06
52,TXN-2020-000266,2020CA,Inscripción,NULL,2301.52,2020-03-28
52,TXN-2021-000267,2020CA,Colegiatura,6050.77,0.0,2021-05-21
52,TXN-2022-000268,2020CA,Colegiatura,4575.05,731.44,2022-04-26
52,TXN-2023-000269,2020CA,Colegiatura,5049.22,0.0,2023-12-05
52,TXN-2024-000270,2020CB,Colegiatura,4281.82,0.0,2024-08-27
52,TXN-2025-000271,2020CC,Colegiatura,5809.65,0.0,2025-09-25
53,TXN-2020-000272,2024CA,Inscripción,2636.07,0.0,2020-07-21
53,TXN-2021-000273,2024CB,Colegiatura,5190.54,2559.12,2021-11-25
53,TXN-2022-000274,2024CC,Reinscripción,2727.22,0.0,2022-04-17
53,TXN-2023-000275,2025CA,Colegiatura,4444.98,0.0,2023-02-05
54,TXN-2020-000276,2022CA,Inscripción,5442.57,4936.95,2020-12-05
54,TXN-2021-000277,2022CB,Colegiatura,5247.57,0.0,2021-04-19
54,TXN-2022-000278,2022CC,Colegiatura,3855.57,0.0,2022-04-24
54,TXN-2023-000279,2023CA,Colegiatura,4989.88,0.0,2023-12-15
54,TXN-2024-000280,2023CB,Colegiatura,4329.11,1382.59,2024-03-29
54,TXN-2025-000281,2023CC,Colegiatura,4501.37,0.0,2025-06-27
55,TXN-2020-000282,2022CA,Inscripción,5210.83,0.0,2020-07-07
55,TXN-2021-000283,2022CB,Colegiatura,4990.4,1613.22,2021-10-04
55,TXN-2022-000284,2022CC,Colegiatura,4242.28,0.0,2022-05-13
55,TXN-2023-000285,2023CA,Colegiatura,4873.5,0.0,2023-12-11
55,TXN-2024-000286,2023CB,Colegiatura,5516.79,0.0,2024-02-11
55,TXN-2025-000287,2023CC,Colegiatura,5076.59,2113.75,2025-07-11
56,TXN-2020-000288,2024CA,Inscripción,5458.23,1520.76,2020-10-21
56,TXN-2021-000289,2024CB,Colegiatura,3927.8,0.0,2021-04-22
56,TXN-2022-000290,2024CC,Colegiatura,4727.29,0.0,2022-08-08
56,TXN-2023-000291,2025CA,Colegiatura,4549.6,0.0,2023-03-24
57,TXN-2020-000292,2022CA,Inscripción,3613.56,0.0,2020-03-21
57,TXN-2021-000293,2022CB,Colegiatura,5008.9,0.0,2021-05-03
57,TXN-2022-000294,2022CC,Colegiatura,5422.37,0.0,2022-02-09
57,TXN-2023-000295,2023CA,Colegiatura,4352.32,0.0,2023-11-06
57,TXN-2024-000296,2023CB,Colegiatura,4500.11,0.0,2024-03-05
57,TXN-2025-000297,2023CC,Colegiatura,4432.36,0.0,2025-12-21
58,TXN-2020-000298,2023CA,Inscripción,3852.0,0.0,2020-10-22
58,TXN-2021-000299,2023CB,Colegiatura,5853.52,0.0,2021-10-03
58,TXN-2022-000300,2023CC,Reinscripción,2725.2,0.0,2022-01-22
58,TXN-2023-000301,2024CA,Colegiatura,4678.87,0.0,2023-02-18
58,TXN-2024-000302,2024CB,Colegiatura,6125.34,5546.13,2024-02-07
58,TXN-2025-000303,2024CC,Colegiatura,5755.83,0.0,2025-10-28
59,TXN-2020-000304,2023CA,Inscripción,2573.02,941.1,2020-01-13
59,TXN-2021-000305,2023CB,Reinscripción,3400.32,0.0,2021-08-10
59,TXN-2022-000306,2023CC,Colegiatura,5749.47,0.0,2022-09-19
59,TXN-2023-000307,2024CA,Colegiatura,3892.17,0.0,2023-03-29
59,TXN-2024-000308,2024CB,Colegiatura,5289.62,0.0,2024-06-26
59,TXN-2025-000309,2024CC,Colegiatura,4768.47,1035.36,2025-09-21
60,TXN-2020-000310,2022CA,Inscripción,4212.66,0.0,2020-04-04
60,TXN-2021-000311,2022CB,Colegiatura,5496.2,0.0,2021-11-21
60,TXN-2022-000312,2022CC,Reinscripción,3185.53,0.0,2022-06-30
60,TXN-2023-000313,2023CA,Colegiatura,5910.46,0.0,2023-06-30
60,TXN-2024-000314,2023CB,Colegiatura,4155.29,0.0,2024-09-12
60,TXN-2025-000315,2023CC,Colegiatura,4159.68,2831.92,2025-10-18
61,TXN-2020-000316,2024CA,Inscripción,3440.66,2236.7,2020-12-28
61,TXN-2021-000317,2024CB,Colegiatura,5704.72,0.0,2021-09-30
61,TXN-2022-000318,2024CC,Colegiatura,5025.72,0.0,2022-05-06
61,TXN-2023-000319,2025CA,Colegiatura,5618.43,0.0,2023-05-11
61,TXN-2024-000320,2025CA,Colegiatura,0,0.0,2024-10-23
62,TXN-2020-000321,2020CA,Inscripción,3807.0,3755.41,2020-02-10
62,TXN-2021-000322,2020CB,Colegiatura,4188.04,0.0,2021-01-07
62,TXN-2022-000323,2020CC,Reinscripción,3472.37,1055.12,2022-08-22
62,TXN-2023-000324,2021CA,Colegiatura,4798.11,0.0,2023-09-09
62,TXN-2024-000325,2021CB,Reinscripción,3006.69,2571.48,2024-12-26
62,TXN-2025-000326,2021CC,Colegiatura,5186.08,0.0,2025-11-02
63,TXN-2020-000327,2022CA,Inscripción,3291.93,0.0,2020-11-03
63,TXN-2021-000328,2022CB,Colegiatura,4589.25,3494.8,2021-04-11
63,TXN-2022-000329,2022CC,Colegiatura,5605.69,0.0,2022-02-16
63,TXN-2023-000330,2023CA,Colegiatura,4773.54,0.0,2023-01-25
63,TXN-2024-000331,2023CB,Reinscripción,2933.96,0.0,2024-04-21
63,TXN-2025-000332,2023CC,Colegiatura,4691.3,0.0,2025-07-22
64,TXN-2020-000333,2020CA,Inscripción,2908.72,0.0,2020-04-21
64,TXN-2021-000334,2020CB,Colegiatura,5986.9,0.0,2021-08-21
64,TXN-2022-000335,2020CC,Reinscripción,3272.53,0.0,2022-02-15
64,TXN-2023-000336,2021CA,Colegiatura,4040.96,0.0,2023-02-05
64,TXN-2024-000337,2021CB,Reinscripción,1738.28,1341.73,2024-06-07
64,TXN-2025-000338,2021CC,Colegiatura,4446.1,0.0,2025-08-17
65,TXN-2020-000339,2022CA,Inscripción,3561.22,1706.95,2020-02-20
65,TXN-2021-000340,2022CB,Colegiatura,4561.71,0.0,2021-01-10
65,TXN-2022-000341,2022CC,Colegiatura,4148.24,0.0,2022-01-12
65,TXN-2023-000342,2023CA,Colegiatura,5800.04,0.0,2023-03-13
65,TXN-2024-000343,2023CB,Colegiatura,6078.21,0.0,2024-06-24
65,TXN-2025-000344,2023CC,Reinscripción,1587.85,0.0,2025-10-31
66,TXN-2020-000345,2020CA,Inscripción,2741.0,0.0,2020-09-07
66,TXN-2021-000346,2020CA,Colegiatura,5945.46,0.0,2021-01-22
66,TXN-2022-000347,2020CA,Reinscripción,2582.04,0.0,2022-10-25
